deserve	 -할 만하다
insurance	보험, 보장
custody	보호
protection	보호
guardian	보호자
protect	보호하다, 막다, 지키다, 비호하다
preserve	보호하다, 지키다
lottery	복권
corridor	복도
duplicate	복사하다
revenge	복수
gospel	복음서, 신조
complicate	복잡하게 하다
complicated	복잡한
costume	복장
submit	복종시키다
subject	복종시키다
multiple	복합의
instinct	본능
headquarters	본부
essentially	본질적으로
essential	본질적인
cheek	볼
hostage	볼모
view	봄, 관찰, 개관, 실지 검증  보는 힘, 시계, 시야
salary	봉급 봉급을 주다
dedicate	봉납하다
envelope	봉투
department	부
impose	부과하다
ashamed	부끄러운
shame	부끄럼
soft	부드러운
envious	부러워하는
supplement	부록
call	부르다
parental	부모의
counterpart	부본
part	부분
section	부분
partial	부분적인
wound	부상
accessory	부속물
break	부수다
kitchen	부엌
enrich	부유하게하다
wealthy	부유한
woman	부인
rich	부자인
absence	부재
absent	부재의
negative	부정적인
deny	부정하다
scarcity	부족
shortage	부족
scarce	부족한
meager	부족한, 결핍된
negligence	부주의, 태만
careless	부주의한
site	부지
sector	부채꼴
instigate	부추기다, 선동하다
request	부탁하다
inflate	부풀게 하다
swell	부풀다
bulk	부피
sign	부호
hatch	부화하다
north	북, 북 쪽, 북부
minute	분
diverge	분기하다, 나눠지다
resentful	분노한
classify	분류하다
separate	분리된
detach	분리하다
plain	분명한
clarify	분명히 하다, 맑게 하다
distribute	분배하다
sensible	분별있는
discriminate	분별하다
fraction	분수
disrupt	분열시키다
molecule	분자
erupt	분출하다
division	분할, 부서
analyse	분해하다
resolve	분해하다
fire	불
mystery	불가사의
weird	불가사의한
disabled	불구가 된
flame	불꽃
spark	불꽃
disadvantage	불리
handicap	불리한 조건
disgrace	불명예
outrage	불법(적인 행위)
outlaw	불법화하다
constant	불변의
pity	불쌍히 여김
roast	불에 쬐어 굽다 불고기 구운
disgust	불쾌하게 하다
nasty	불쾌한
complain	불평하다
absurd	불합리한
red	붉은
collapse	붕괴
breakdown	붕괴
attach	붙이다
catch	붙잡다
grasp	붙잡다
seize	붙잡다
capture	붙잡다(=catch)
grab	붙잡다(=snatch)
brake	브레이크
rain	비
informal	비공식의
pessimistic	비관적인
compare	비교하다
tragic	비극의
soap	비누 비누로 씻다
scale	비늘(모양의 것)
silk	비단
although	비록 -일지라도
originate	비롯되다, 유래하다
scream	비명을 지르다
secret	비밀의
emergency	비상사태
secretary	비서
alike	비슷한
precious	비싼
fertile	비옥한
expensive	비용이 드는
evacuate	비우다
ridicule	비웃다
proportion	비율, 비 균형, 조화
abnormal	비정상적인
miserable	비참한
slope	비탈
sorrowful	비통한
stumble	비틀거리다
skeptical	비판적인
criticism	비평
critic	비평가
criticise	비평하다
criticize	비평하다
airplane	비행기
empty	빈
lounge	빈둥거리다
frequent	빈번한
alert	빈틈없는
pray	빌다
borrow	빌다
lend	빌리다
iceberg	빙산
glacier	빙하
debt	빚
light	빛
brilliant	빛나는
shine	빛나다
fast	빠른
quick	빠른
rapid	빠른
swift	빠른
suck	빨다
tug	빨리 끌어당기다
bread	빵
deprive	빼앗다
extend	뻗다
stretch	뻗치다
bone	뼈
framework	뼈대
proud	뽐내는, 자랑하는 자긍하는, 영광 으로 여기는
extract	뽑아내다
root	뿌리
horn	뿔
scatter	뿔뿔이 흩어 버리다
sprain	삐다
incident	사건
apple	사과
apology	사과
apologize	사과하다
sociable	사교적인
fraud	사기
morale	사기
hunt	사냥하다
buy	사다
purchase	사다, 구입하다
ladder	사닥다리
person	사람
folk	사람들
people	사람들
love	사랑
thoughtful	사려 깊은, 배려하는
mission	사명
object	사물
bowl	사발
around	사방에
judicial	사법의
copy	사본
editorial	사설
trivial	사소한
trivia	사소한 일
chain	사슬
link	사슬의 고리
fact	사실
virtual	사실상의, 실질상의, 실제의  허상의
evil	사악한
wicked	사악한
usage	사용법, 용례
tool	사용세
intervene	사이에 들다
sin	사인
resign	사임하다
lion	사자
private	사적인, 사사로운, 개인에 속한
dictionary	사전
photograph	사진 촬영하다
photography	사진술
cousin	사촌
luxury	사치
luxurious	사치스러운
candy	사탕과자
dialect	사투리
society	사회
social	사회의
sociology	사회학
delete	삭제하다
mount	산
mountain	산
acid	산 신
neat	산뜻한
trim	산뜻한 정돈하다
shatter	산산히 부서지다
oxygen	산소
output	산출
yield	산출하다
flesh	살
live	살다
inhabit	살다
survive	살아 남다
alive	살아있는
murder	살인
jog	살짝 밀다 덜커덕 움직이다 고르지 않음
fat	살찐
ounce	삵괭이
swallow	삼키다
episode	삽화
award	상
prize	상, 포상, 우등상, 선행상
considerable	상당한
mate	상대
opponent	상대, 반대자
imagination	상상
imagine	상상하다
suppose	상상하다
conceive	상상하다
detail	상설
heir	상속인
inherit	상속하다
commerce	상업
commercial	상업의, 광고방송
consult	상의하다
merchant	상인
shop	상점
symbol	상징
symbolize	상징하다
hurt	상처내다
state	상태
brand	상표
goods	상품
commodity	상품
merchandise	상품
mutual	상호의
mutural	상호의
bird	새
rope	새끼
new	새로운
fresh	새로운
innovate	새롭게 하다
update	새롭게 하다 최신정보
dawn	새벽 날이 새다
mouse	새앙쥐
cage	새장
index	색인
leak	샘
fountain	샘
remind	생각나게 하다
think	생각하다
arise	생기다
omission	생략
omit	생략하다
biotechnology	생명공학
vital	생명의, 생명에 관한, 생명유지에 필요한, 살아 있는
biology	생물학
productivity	생산성
produce	생산하다, 산출하다, 생기게 하다,
reproduce	생식(번식)하다
birthday	생일
ecosystem	생태계
inherent	생태의
ecology	생태학
clerk	서기
cool	서늘한
stand	서다
hurry	서두르다
hasten	서두르다
interact	서로 작용하다
document	서류
frost	서리
signature	서명
subscribe	서명승락하다
description	서술
pear	서양배
lyric	서정시
west	서쪽
coal	석탄
mix	섞다
line	선
election	선거
elect	선거하다
gift	선물
shelf	선반
cabin	선실
declare	선언하다
option	선택(권의 자유)
sermon	설교
preach	설교하다
persuasive	설득력 있는
eloquent	설득력 있는, 웅변력 있는
persuade	설득하다
found	설립하다.
explanation	설명
explain	설명하다
illustrate	설명하다
account	설명하다 계산
install	설치하다
sugar	설탕
island	섬
serve	섬기다
fiber	섬유
fibre	섬유
sex	성
anger	성
castle	성
gender	성
succeed	성공하다
offend	성나게 하다
match	성냥
statement	성명(진술)서
ingredient	성분
compound	성분 등을 혼합하다
bible	성서, 성경
adult	성인
grow	성장하다
priest	성직자
achieve	성취하다
world	세계
germ	세균
tax	세금
heritage	세습 재산
detergent	세제
laundry	세탁물
countless	셀수없는
cattle	소
salt	소금
shower	소나기 빗발치듯 퍼붓다(쏟다)
pine	소나무 수척해 지다
girl	소녀
boy	소년
noise	소리
sound	소리
still	소리가 없는 아직(도)
cry	소리치다
retail	소매
sleeve	소매
rumor	소문
rumour	소문
naive	소박한
spend	소비하다
consume	소비하다
revive	소생하다
novel	소설
suit	소송
client	소송의뢰인
minority	소수
few	소수의
belonging	소유물, 소속
possess	소유하다
cherish	소중히 하다
aptitude	소질
parcel	소포
picnic	소풍
excursion	소풍
software	소프트웨어
digest	소화시키다
speed	속도
whisper	속삭이다
attribute	속성
in	-속에
cheat	속이다
belong	속하다
hand	손
finger	손가락 손가락을 대다
guest	손님
watch	손목시계
palm	손바닥
slap	손바닥으로 때리다
junior	손아래사람
hold	손에 갖고 있다
handle	손잡이
tag	손잡이가죽
nail	손톱
damage	손해
brush	솔
initiative	솔선, 독창성
frank	솔직한
frankly	솔직히
craft	솜씨
remit	송금하다, 면제하다
bunch	송이
iron	쇠
beef	쇠고기
decay	쇠퇴하다
bloom	쇳덩이
number	수
several	수개의
nun	수녀 집비둘기의 일종
means	수단, 방법
allowance	수당
metropolitan	수도권(의)
faucet	수도꼭지
monastery	수도원
passive	수동적인
receipt	수령
watermelon	수박
monk	수사
repair	수선(수정)하다
transport	수송(운송)하다
riddle	수수께끼
tuition	수업료
mustache	수염
capacity	수용력, 능력
accommodate	수용하다
capital	수위의
prime	수위의, 최초의, 원시적인
veterinarian	수의사
income	수입
import	수입하다
numerically	수적으로
crystal	수정
shy	수줍은
contraction	수축, 축소
export	수출하다 수출
vertical	수평면에 직각인, 수직의
level	수평의
mathematics	수학
suite	수행원
conduct	수행하다, 처리하다
baggage	수화물
crop	수확
harvest	수확
reap	수확하다
consider	숙고하다
deliberate	숙고하다
skill	숙련
expert	숙련가
fate	숙명
homework	숙제
moment	순간
cop	순경
order	순서
pure	순수한  깨끗한, 순전한, 결백한
cruise	순항하다
cycle	순환
circulation	순환
circulate	순환하다
patrol	순회
spoon	숟가락
conceal	숨기다
breathe	숨쉬다
worship	숭배
wood	숲
forest	숲
easy	쉬운
facility	쉬움
readily	쉽게, 기꺼이
facilitate	쉽게하다
skirt	스커어트
spectrum	스펙트럼
wise	슬기로운
sad	슬픈
sore	슬픈
teen	슬픔
assault	습격
habit	습관
custom	습관
habitual	습관적인
moisture	습기
wetland	습지
passenger	승객
consent	승낙하다
triumph	승리
victory	승리, 전승
crew	승무원
preferment	승진, 발탁
promote	승진시키다 진행시키다,
poem	시
visual	시각의, 물건을 보기 위한
hour	시간
period	시간
punctual	시간을 지키는
clock	시계
tick	시계소리
countryside	시골
rural	시골의
cottage	시골집
opportune	시기가 좋은, 알맞은
loud	시끄러운
burn	시내
creek	시내
stream	시내
era	시대
attempt	시도하다
cereal	시리얼,곡물
citizen	시민
civil	시민의
scan	시의 운율을살피다
verse	시의 한 줄, 시구  일련의 시구
poet	시인
approve	시인하다, 승인하다, 찬성하다
begin	시작하다
start	시작하다
commence	시작하다
initiate	시작하다
mayor	시장
tense	시제
consistent	시종일관한
sour	시큼한 시어지다 시큼한 것
let	시키다
exam	시험
test	시험
trial	시험
examine	시험하다
prove	시험하다, 실험하다, 경험하다, 시험해 보다
try	시험해보다
vegetable	식물  야채, 푸성귀, 남새, 채소
colony	식민지
discerning	식별력 있는, 안목 있는
meal	식사
edible	식용의
grocery	식품잡화류
god	신
nerve	신경
nervous	신경의
fuse	신관
conviction	신념
bridegroom	신랑
newspaper	신문
recruit	신병
bride	신부
status	신분
gentleman	신사
holy	신성한
sacred	신성한
faith	신용
trust	신용
credit	신용
identity	신원, 정체성
divine	신의
freshman	신입생
body	신체
myth	신화
thread	실
gym	실내체조장
gymnasium	실내체조장
instance	실례
disappoint	실망시키다
plant	실물
enforce	실시하다
real	실재하는
practical	실제의
substantial	실체의
confess	실토하다
failure	실패
fail	실패하다
execute	실행하다, 집행하다
experiment	실험
lab	실험실
laboratory	실험실
dislike	싫어하다, 혐오
public	심리, 심리 상태
psychology	심리학
errand	심부름
heart	심장
referee	심판
grief	심한 슬픔(deep sorrow)
cross	십자형
wrap	싸다
contend	싸우다
fight	싸움
bud	싹, 꽃 몽우리
rice	쌀
chilly	쌀쌀한
twin	쌍동이
both	쌍방의
pile	쌓아 올린 것
perishable	썩기 쉬운
rot	썩다
rotten	썩은
shoot	쏘다
expose	쐬다, 드러내다, 맞히다
use	쓰다
write	쓰다
litter	쓰레기, 어지르다
bitter	쓴
obsolete	쓸모없게 된
useless	쓸모없는
available	쓸모있는
sow	씨를 뿌리다
seed	씨앗
chew	씹다
wash	씻다
glue	아교
wife	아내
not	아니다
son	아들
down	아래로
below	아래에
under	-아래에
lower	아래의, 낮은, 낮추다
beauty	아름다움
maybe	아마
perhaps	아마
probably	아마, 십중팔구
conceivably	아마도, 상상컨데
nothing	아무것도 …없다
nowhere	아무데도 …없다
nobody	아무도 -않다 하찮은 사람
none	아무도(조금도)-않다 조금도(결코)-않다
however	아무리
father	아버지
dad	아빠
kid	아이
child	아이
uncle	아저씨
quite	아주
identical	아주 동일한
aunt	아주머니
yet	아직
flatter	아첨하다
morning	아침
breakfast	아침밥
vice	악덕,  비행, 타락 행위
demon	악마
devil	악마
nightmare	악몽
spite	악의
worsen	악화시키다
fog	안개
mist	안개
agenda	안건
guidance	안내
attendant	안내원, 참석자
goodbye	안녕히 가세요
ease	안락
disappear	안보이게 되다
into	-안으로
introduce	안으로 들이다
inner	안의(내적인)
safe	안전한
secure	안전한
stable	안정된
inside	안쪽
sit	앉다
egg	알
aware	알고 있는
know	알다
allergic	알레르기의
inform	알리다
announce	알리다
communicate	알리다
acquaint	알리다, 익히다, 숙지하다
pill	알약
cancer	암
memorize	암기하다.
recite	암송하다
suggest	암시하다
overwhelm	압도하다
pressure	압력, 
stress	압박
squeeze	압착하다
before	앞에
forth	앞으로
previous	앞의, 이전의
forward	앞쪽에
patriot	애국자
caterpillar	애벌레
pet	애완동물
affection	애정
berry	액과
accent	액센트
liquid	액체
baseball	야구
wildlife	야생동물
wild	야생의
brute	야수 짐승같은
ambition	야심
medicine	약
somewhat	약간
slight	약간의
promise	약속, 서약, 계약
appointment	약속, 임명
engage	약속하다
drug	약제
predator	약탈자
weak	약한
bully	약한 자를 못살게 구는 자
weaken	약화시키다.
thin	얇은
slice	얇은조각
deal	양
sheep	양
quantity	양
spice	양념
compatible	양립할 수 있는
wool	양모
conscience	양심
upkeep	양육, 유지
nurture	양육하다
brew	양조하다
shallow	얕은 얕은 곳 얕아지다
unexpected	얘기치 않은
shoulder	어깨
shrug	어깨를 어쓱하다
which	어느 쪽
either	어느 하나의
alternative	어느 한쪽의 양자택일
dark	어두운
dim	어둑한
where	어디에 (-하는)곳에 pr.어디 (문제의)장소
any	어떤
how	어떻게
somehow	어떻게 해서든지,
ridiculous	어리석은
silly	어리석은 바보
lamb	어린 양
approximate	어림셈의
estimate	어림잡다
mother	어머니
parent	어버이
awkward	어색한
yesterday	어제
dizzy	어지러운
vocabulary	어휘, 용어수, 용어 범위
detain	억류하다
depress	억압하다
curb	억제하다
rein	억제하다
control	억제하다
compel	억지로 -시키다
hill	언덕, 낮은 산 인도 고지
journalist	언론인
language	언어
when	언제
get	얻다
gain	얻다
obtain	얻다
acquire	얻다
face	얼굴
handsome	얼굴(자태)이 잘생긴
feature	얼굴의 생김새
freeze	얼다
zebra	얼룩말
soon	얼마 안 가서
some	얼만가의
ice	얼음
sternly	엄격하게
rigorous	엄격한, 혹독한
solemn	엄숙한
stingently	엄중하게
strict	엄중한
thumb	엄지손가락 엄지손가락으로 만지다
dispensable	없어도 되는
hip	엉덩이
spill	엎지르다
about	-에 대하여
precede	-에 앞서다
per	-에 의하여
despite	-에도 불구하고 모욕
at	-에서
enclose	에워싸다
surround	에워싸다
engine	엔진
filter	여과기 여과하다
passport	여권
here	여기에
hello	여보
spare	여분의
female	여성
queen	여왕
afford	여유가 있다
inn	여인숙
sister	여자형제
trip	여행
voyage	여행
journey	여행
itinerary	여행 일정표
travel	여행하다
reverse	역
station	역
disgusting	역겨운
foul	역겨운, 반칙
coach	역마차
history	역사
historic	역사상 중요한
paradox	역설
nonetheless	역시
year	연
yearbook	연감
research	연구
smoke	연기
age	연령
fuel	연료
federal	연방의
pink	연분홍색
senior	연상의
associate	연상하다, 관련시키다
speech	연설
series	연속
sequence	연속
consecutive	연속의, 연이은
drill	연습
practice	연습
practise	연습
coast	연안
kit	연장통
concert	연주회
pencil	연필 연필로 쓰다
banquet	연회
heat	열
rank	열
fever	열
open	열다
tropical	열대의
inferior	열등한
passionate	열렬한
aspire	열망하다
key	열쇠
eager	열심인
enthusiastic	열심인
zeal	열의
addict	열중하게 하다
goat	염소
overhear	엿듣다
inspire	영감을 주다
glory	영광
permanent	영구의
clever	영리한
nutrition	영양분
nourish	영양분을 주다
hero	영웅
eternal	영원한
forever	영원히
domain	영토
territory	영토
influence	영향력
affect	영향을 주다
movie	영화
cinema	영화관
profile	옆 얼굴, 반면상 인물 소개  태도, 자세
yes	예
foretell	예견하다
deposit	예금
precaution	예방책
preliminary	예비의, 사전 준비
pretty	예쁜, 귀여운, 참 한, 조촐한
budget	예산
forecast	예상
anticipate	예상하다
art	예술
artistic	예술의, 예술적인
predict	예언하다, 예보하다 예언하다
exception	예외
courtesy	예의범절
ancient	옛날의
nowadays	오늘날에는, 요즈음에는
tonight	오늘밤에 오늘밤
today	오늘은
come	오다
hut	오두막
audition	오디션
entertainment	오락, 대접
arrogant	오만한
thrill	오싹하다 오싹함
contaminate	오염시키다
A.M.	오전
motorcycle	오토바이
misunderstand	오해하다.
P.M.	오후
afternoon	오후
rather	오히려
prefer	오히려 …을 좋아하다,
temperature	온도
thermometer	온도계
gentle	온화한
mild	온후한
rise	올리다
raise	올리다
olive	올리브나무
just	올바른
right	올바른
shift	옮기다
remove	옮기다
transfer	옮기다
justify	옳다고 하다
correct	옳은
as	-와 같은 정도로
stubborn	완고한
complete	완성하다
perfect	완전한
thorough	완전한
flush	왈칵흐르다
king	왕
crown	왕관
throne	왕위(에 오르다)
royal	왕의
prince	왕자, 태자, 세자, 대군
dynasty	왕조
why	왜
because	왜냐하면
surgery	외과
surgeon	외과의사
apparently	외관상으로는, 분명히
diplomat	외교관
abroad	외국으로
alien	외국의
exotic	외국의
foreign	외국의
appearance	외무, 출현
external	외부의
shout	외치다
exclaim	외치다
outgoing	외향적인
left	왼쪽의
claim	요구하다
demand	요구하다
require	요구하다
fee	요금
fare	요금
charge	요금
cradle	요람
restaurant	요리점
cook	요리하다 요리사
factor	요소
element	요소
summary	요약
simmarize	요약하다.
bathroom	욕실
brave	용감한
courage	용기
encourage	용기를 돋우다
courageous	용기있는
strategy	용병학
forgive	용서하다
pardon	용서하다 용서
chief	우두머리
captain	우두머리(chief)
we	우리가
umbrella	우산
priority	우선순위
dominant	우세한
excellent	우수한
elegant	우아한
graceful	우아한
chance	우연
casual	우연한
haphazardly	우연히, 무턱대고, 되는 대로
depression	우울증
depressed	우울한
gloomy	우울한, 어두운
cosmos	우주
universe	우주
astronaut	우주비행사
spacecraft	우주선
mail	우편물
luck	운
fortune	운
motion	운동
workout	운동
exercise	운동
movement	운동,움직임
athlete	운동가
athletic	운동선수
doom	운명
destiny	운명
vehicle	운반 기구, 운송 수단,  수레, 차량, 탈것
drive	운전하다
fortunate	운좋은
canal	운하
weep	울다
mobile	움직이기 쉬운
move	움직이다
operate	움직이다
grin	웃다
puddle	웅덩이
circle	원
telecommunication	원격통신
perspective	원근법의 원근 화법
material	원료
principle	원리, 원칙, 법칙, 공리
text	원문
cone	원뿔
monkey	원숭이
primitive	원시의, 초기의
cause	원인
causal	원인의
atom	원자
atomic	원자의
source	원천
month	월
stomach	위
crisis	위기
grand	위대한
up	위로
upward	위로 향한
upwards	위로 향한
violate	위반하다
satellite	위성
comfort	위안
dignity	위엄
on	위에
committee	위원회
commission	위임
over	위쪽
upper	위쪽의
position	위치
commit	위탁하다
committable	위탁할 수 있는
behalf	위함
danger	위험
hazard	위험
risk	위험 걸다
endanger	위험에 빠뜨리다.
save	위험에서 구하다
hazardous	위험한
scare	위협하다
cow	위협하다 암소
buzz	윙윙거리는 소리
regret	유감
van	유개트럭
organism	유기체 (생물)
organic	유기체의
fluid	유동성의
ghost	유령
glass	유리
advantage	유리한 입장
promising	유망한
famous	유명한
nanny	유모
nurse	유모
similar	유사한
abort	유산하다
infant	유아
humor	유우머
unique	유일무이한
only	유일한
sole	유일한 발바닥
remains	유적
gene	유전(인)자
genetic	유전의
convict	유죄로 판결하다 죄수
fluent	유창한
kindergarten	유치원
cheerful	유쾌한
current	유행의
fashionable	유행하는
prevalent	유행하는, 널리 퍼진
genre	유형
tempt	유혹하다
valid	유효한
army	육군
massive	육중한
outline	윤곽
ethic	윤리
rate	율
rhythm	율동
seem	-으로 보이다
consist	-으로 이루어지다
roar	으르렁거리다 으르렁소리
silver	은
grace	은총
galaxy	은하
pollute	-을 더럽히다
along	-을 따라
meet	-을 만나다
utilise	-을 이용하다
utilize	-을 이용하다
except	-을 제외하고는 제외하다
ensure	-을 책임지다
beverage	음료
plot	음모
intrigue	음모
food	음식
feed	음식(먹이)을 주다
cater	음식물을 마련하다
music	음악
tone	음조
town	읍
stare	응시하다
beside	-의 곁에
alongside	-의 곁에
underlie	-의 밑에 있다
beneath	-의 바로 아래에
between	-의 사이에 사이에
upon	-의 위에
opinion	의견
counsel	의논
intention	의도
duty	의무
obligate	의무를 지우다
compulsory	의무적인
mean	의미하다
physician	의사
ritual	의식, 의례
conscious	의식적인
doubt	의심
suspicion	의심
undoubtedly	의심 할 바 없는
suspicious	의심하는
chair	의장
chairman	의장
will	의지
medical	의학의
intent	의향
assembly	의회
parliament	의회
this	이
tooth	이
become	-이 되다
win	이기다
overcome	이기다
prevail	이기다, 극복하다, 압도하다 우세하다, 보급되다
selfish	이기적인
lead	이끌다
guide	이끌다
derive	이끌어 내다
moss	이끼
be	-이다
since	-이래
such	이러한
thus	이렇게
theory	이론
accomplish	이루다
attain	이르다
early	이른
name	이름
forehead	이마
already	이미
ideal	이상
curious	이상스러운
strange	이상한
extraordinary	이상한
reason	이성
dew	이슬
transplant	이식하다
tale	이야기
speak	이야기하다
relate	이야기하다
narrate	이야기하다
neighbor	이웃사람(나라)
neighbour	이웃사람(나라)
joint	이음매
benefit	이익
profit	이익, 이득, 벌이
ago	이전에
ever	이전에
formerly	이전에, 예전에
former	이전의
prior	이전의, 앞의
immigration	이주, 이민
migrate	이주하다
immigrate	이주하다
comprehensive	이해력있는
considerate	이해심 많은
comprehend	이해하다
understand	이해하다
fulfil	이행하다
fulfill	이행하다
divorce	이혼
accustomed	익숙한
ripe	익은
mature	익은
human	인간의
character	인격
artifact	인공유물
artificial	인공의
respirator	인공호흡장치
population	인구
popularity	인기, 대중성
patience	인내심
patient	인내심이 강한 환자
deliver	인도하다
mankind	인류
humanity	인류, 인간성
greet	인사하다
impress	인상지우다
print	인쇄하다, 프린트하다
quote	인용하다
cite	인용하다(quote)
personnel	인원
seal	인장
concede	인정하다
recognize	인정하다
acknowledge	인정하다
race	인종
racial	인종(상)의
ethnic	인종의
whether	-인지 어떤지
inflation	인플레이션
doll	인형
job	일
task	일
work	일
affair	일
journal	일간신문
diary	일기
annual	일년의
generation	일대
list	일람표
general	일반적인
generalize	일반화하다
portion	일부, 부분
temporary	일시적인
occur	일어나다
definite	일정한
tour	일주
occupation	일직업
coincidence	일치
conform	일치시키다
accord	일치하다
coincide	일치하다
correspond	일치하다
disagree	일치하지 않다
earn	일하여 벌다
disposable	일회용의
read	읽다
lose	잃다
loss	잃음
wage	임금
lease	임대차
office	임무
super	임시고용배우
tentatively	임시로
interim	임시의
pregnant	임신한 충만한
though	-임에도 불구하고 그러나
mouth	입
wear	입다
lip	입술
particle	입자
admission	입장
connect	잇다 이어지다
present	있는, 존재하는
likely	있을 법한
forget	잊다
leaf	잎
qualify	자격을 부여하다
entitle	자격을 주다
tiny	자그마한
incentive	자극적인
stimulate	자극하다
self	자기
own	자기자신의 소유하다
automatic	자동의
car	자동차
automobile	자동차 자동차의
boast	자랑하다
vain	자만심강한, 헛된
lock	자물쇠
voluntary	자발적인, 수의의
mercy	자비
charity	자비
asset	자산
suicide	자살 자살하다
autobiography	자서전
magnet	자석
pose	자세, 포즈  마음가짐  꾸민 태도
descendent	자손
nature	자연
resource	자원
freedom	자유
liberty	자유
free	자유로운
liberal	자유주의의
bicycle	자전거 자전거를 타다
continent	자제심이 있는
pride	자존심
often	자주
haunt	자주가다
purple	자줏빛의  새빨간  제왕의
vanish	자취를 감추다
farewell	작별
little	작은
path	작은 길
cell	작은 방
small	작은 작은 부분 적게
bit	작은 조각
minor	작은 편의
lawn	잔디밭
cruel	잔인한
well	잘
shred	잘게 자르다, 찢다
error	잘못
mislead	잘못믿게하다
wake	잠깨다
asleep	잠들은
submarine	잠수함
sleep	잠자다
grip	잡기
take	잡다
chat	잡담
strain	잡아당기다
magazine	잡지
weed	잡초 잡초를 뽑다
spin	잣다
master	장
glove	장갑
minister	장관
ministry	장관(목사)의 직(소임)
spectacular	장관의
mischief	장난, 해악
toy	장난감 장난하다
magnificent	장대한
superb	장려한
scene	장면
barrier	장벽
equipment	장비
funeral	장사
spot	장소
place	장소
situation	장소
local	장소의
decorate	장식하다
obstacle	장애(물)
merit	장점
scholarship	장학금
ash	재
measure	재다
stuff	재료
timber	재목
amuse	재미나게 하다
reoccurrence	재발
recur	재발하다
prompt	재빠른, 신속한, 즉시 …하는
wealth	재산
property	재산, 자산
recycle	재생 이용하다
finance	재정
review	재조사
talent	재주
witty	재치 있는
sneeze	재치기 하다
smart	재치있는
reunification	재통일
judge	재판관
tray	쟁반
that	저
evening	저녁
eve	저녁, 밤
supper	저녁식사
dine	저녁식사를 하다
author	저자
storage	저장
curse	저주
beyond	저편에
resist	저항하다
enemy	적
suitable	적당한
appropriate	적당한
equator	적도
adapt	적용시키다
specialize	전공하다
bulb	전구
biography	전기
romantic	전기소설적인
electric	전기의
overnight	전날밤의
trophy	전리품
outlook	전망
prospect	전망, 조망, 경치
patent	전매특허권 전매특허의
ahead	전방에
turnover	전복
legend	전설
tradition	전설
telegraph	전신
electronic	전자(학)의
war	전쟁
utter	전적인
battery	전지
whole	전체의
entire	전체의
conventional	전통적인,재래식의
battle	전투
altogether	전혀
typical	전형적인
telephone	전화
distract	전환시키다
bow	절
absolute	절대의
desperate	절망적인
despair	절망하다
cliff	절벽
thrift	절약
economy	절약
moderation	절제
moderate	절제하는
young	젊은
youth	젊음
dot	점
point	점
lunch	점심
occupancy	점유, 선점
decent	점잖은
gradual	점차적인
adhesive	점착성의
access	접근
dish	접시
contact	접촉
exquisite	정교한, 더없이 훌륭한
subscription	정기구독(료)
airline	정기항공
vigorous	정력적인, 강건한, 활기 있는, 격렬한
front	정면
opposite	정반대의 (것), 
conquer	정복하다
government	정부
square	정사각형의
top	정상
sentiment	정서
spirit	정신
spiritual	정신, 흑인 영가
passion	정열
noon	정오
cube	정육면체
butcher	정육점주인
justice	정의
define	정의하다
refine	정제정련하다
honesty	정직
honest	정직한
dinner	정찬
policy	정책
politics	정치
routine	정해진 일
exact	정확한
precise	정확한
accurate	정확한
precisely	정확히, 꼼꼼하게
adjourn	정회하다
milk	젖
eliminate	제거하다
tender	제공
empire	제국
imperial	제국의
drawer	제도사
lot	제비
constraint	제약, 제한
propose	제의하다, 제출하다 추천하다, 지명하다
fabrication	제작
manufacture	제조하다
restrain	제지하다
restrict	제한하다
sculpt	조각 조각하다
sculpture	조각 조각하다
carve	조각하다
condition	조건
mock	조롱하다
recipe	조리법
coherent	조리있는
investigate	조사하다
statue	조상
ancestor	조상
tide	조수
caution	조심
cautious	조심성 있는, 신중한
treaty	조약
quiet	조용한
silent	조용한
encounter	조우
manipulation	조작
system	조직
tissue	조직
organise	조직하다
organize	조직하다
symptom	조짐
even	-조차
nephew	조카
niece	조카딸
item	조항
clause	조항
provision	조항, 공급
harmonious	조화로운
refer	조회시키다
respect	존경하다
presence	존재, 현존, 실재  출석, 임석, 참석
exist	존재하다
narrow	좁은
track	좁은 길, 추적하다
lane	좁은길
bell	종
species	종
religion	종교
sort	종류
dependence	종속
paper	종이
file	종이끼우개
terminal	종점의
tribe	종족
university	종합대학(교) 대학의(에 관계 있는)
fond	좋아하는
like	좋아하다
good	좋은
seat	좌석
depend	좌우되다
criminal	죄의
guilty	죄지은
week	주
county	주
province	주, 성, 도  범위, 영역, 분야
subjective	주관의
orchestrate	주관하다, 조정하다
bishop	주교
give	주다
confer	주다
fold	주름
wrinkle	주름
weekend	주말 주말의 주말을 지내다
fist	주먹
punch	주먹질, 펀치  힘, 활기
remarkable	주목할 만한
regard	주목해서 보다
inject	주사하다
tin	주석
main	주요한
principal	주요한, 주된, 제일의, 앞장서는
attention	주의
attentive	주의 깊은, 경청하는
host	주인, 집주인 노릇, 호스트
insist	주장하다
hesitate	주저하다
kettle	주전자
die	죽다
perish	죽다, 사라지다
dead	죽은
mortal	죽을운명의
death	죽음
kill	죽이다
preparation	준비
ready	준비가 된
prepare	준비하 다, 마련하다, 채비를 갖추다
provide	준비하다, 미리 …에 대비하다  규정하다
compliance	준수
row	줄
range	줄
stem	줄기
stock	줄기
trunk	줄기
